"transcript","gene","Gene"
"Peer2.0.1.fasta009664-RA","AGT"," Angiotensinogen (Rattus norvegicus)"
"Peer2.0.1.fasta009663-RA","CAPN9"," Calpain-9 (Mus musculus)"
"Peer2.0.1.fasta009676-RA","CCSAP"," Centriole%2C cilia and spindle-associated protein (Mus musculus)"
"Peer2.0.1.fasta009677-RA","RAB4A"," Ras-related protein Rab-4A (Homo sapiens)"
"Peer2.0.1.fasta009670-RA","URB2"," Unhealthy ribosome biogenesis protein 2 homolog (Homo sapiens)"
"Peer2.0.1.fasta009672-RA","ABCB10"," ATP-binding cassette sub-family B member 10%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta009671-RA","TAF5L"," TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L (Mus musculus)"
"Peer2.0.1.fasta009673-RA","P3H1"," Prolyl 3-hydroxylase 1 (Mus musculus)"
"Peer2.0.1.fasta009679-RA","TGFBR1"," TGF-beta receptor type-1 (Homo sapiens)"
"Peer2.0.1.fasta009678-RA","RHOU"," Rho-related GTP-binding protein RhoU (Mus musculus)"
"Peer2.0.1.fasta009681-RA","GAS8"," Dynein regulatory complex subunit 4 (Mus musculus)"
"Peer2.0.1.fasta009684-RA","AFG3L1"," AFG3-like protein 1 (Mus musculus)"
"Peer2.0.1.fasta009680-RA","CRLF2"," Cytokine receptor-like factor 2 (Homo sapiens)"
"Peer2.0.1.fasta009683-RA","AFG3L1"," AFG3-like protein 1 (Mus musculus)"
"Peer2.0.1.fasta009682-RA","DBNDD1"," Dysbindin domain-containing protein 1 (Rattus norvegicus)"
"Peer2.0.1.fasta009675-RA","ACTA2"," Actin%2C aortic smooth muscle (Oryctolagus cuniculus)"
"Peer2.0.1.fasta009674-RA","NUP133"," Nuclear pore complex protein Nup133 (Mus musculus)"
"Peer2.0.1.fasta009689-RA","SPIRE2"," Protein spire homolog 2 (Mus musculus)"
"Peer2.0.1.fasta009692-RA","FANCA"," Fanconi anemia group A protein homolog (Mus musculus)"
"Peer2.0.1.fasta009690-RA","FANCA"," Fanconi anemia group A protein homolog (Mus musculus)"
"Peer2.0.1.fasta009691-RA","SPIRE2"," Protein spire homolog 2 (Mus musculus)"
"Peer2.0.1.fasta009693-RA","ABI3BP"," Target of Nesh-SH3 (Homo sapiens)"
"Peer2.0.1.fasta009698-RA","VPS9D1"," VPS9 domain-containing protein 1 (Mus musculus)"
"Peer2.0.1.fasta009697-RA","ZNF276"," Zinc finger protein 276 (Mus musculus)"
"Peer2.0.1.fasta009699-RA","SPATA2L"," Spermatogenesis-associated protein 2-like protein (Mus musculus)"
"Peer2.0.1.fasta009700-RA","CDK10"," Cyclin-dependent kinase 10 (Rattus norvegicus)"
"Peer2.0.1.fasta009702-RA","CHMP1A"," Charged multivesicular body protein 1a (Homo sapiens)"
"Peer2.0.1.fasta009695-RA","FANCA"," Fanconi anemia group A protein homolog (Mus musculus)"
"Peer2.0.1.fasta009696-RA","FANCA"," Fanconi anemia group A protein homolog (Mus musculus)"
"Peer2.0.1.fasta009701-RA","SPATA33"," Spermatogenesis-associated protein 33 (Mus musculus)"
"Peer2.0.1.fasta009694-RA","TRIM38"," E3 ubiquitin-protein ligase TRIM38 (Homo sapiens)"
"Peer2.0.1.fasta009709-RA","RPL21"," 60S ribosomal protein L21 (Chinchilla lanigera)"
"Peer2.0.1.fasta009708-RA","COPS9"," COP9 signalosome complex subunit 9 (Bos taurus)"
"Peer2.0.1.fasta009706-RA","RPL13"," 60S ribosomal protein L13 (Bos taurus)"
"Peer2.0.1.fasta009705-RA","CPNE7"," Copine-7 (Mus musculus)"
"Peer2.0.1.fasta009703-RA","DPEP1"," Dipeptidase 1 (Rattus norvegicus)"
"Peer2.0.1.fasta009704-RA","SULT2B1"," Sulfotransferase 2B1 (Mus musculus)"
"Peer2.0.1.fasta009711-RA","CDH15"," Cadherin-15 (Mus musculus)"
"Peer2.0.1.fasta009712-RA","ACSF3"," Malonate--CoA ligase ACSF3%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta009710-RA","ANKRD11"," Ankyrin repeat domain-containing protein 11 (Mus musculus)"
"Peer2.0.1.fasta009713-RA","RYR2"," Ryanodine receptor 2 (Oryctolagus cuniculus)"
"Peer2.0.1.fasta009716-RA","PABPN1L"," Embryonic polyadenylate-binding protein 2 (Mus musculus)"
"Peer2.0.1.fasta009715-RA","CBFA2T3"," Protein CBFA2T3 (Mus musculus)"
"Peer2.0.1.fasta009714-RA","CBFA2T3"," Protein CBFA2T3 (Mus musculus)"
"Peer2.0.1.fasta009717-RA","TRAPPC2L"," Trafficking protein particle complex subunit 2-like protein (Homo sapiens)"
"Peer2.0.1.fasta009719-RA","APRT"," Adenine phosphoribosyltransferase (Cricetulus griseus)"
"Peer2.0.1.fasta009718-RA","GALNS"," N-acetylgalactosamine-6-sulfatase (Rattus norvegicus)"
"Peer2.0.1.fasta009720-RA","CDT1"," DNA replication factor Cdt1 (Mus musculus)"
"Peer2.0.1.fasta009707-RA","SPG7"," Paraplegin (Mus musculus)"
"Peer2.0.1.fasta009728-RA","ZC3H18"," Zinc finger CCCH domain-containing protein 18 (Homo sapiens)"
"Peer2.0.1.fasta009725-RA","CYBA"," Cytochrome b-245 light chain (Mus musculus)"
"Peer2.0.1.fasta009726-RA","IL17C"," Interleukin-17C (Mus musculus)"
"Peer2.0.1.fasta009727-RA","IL17C"," Interleukin-17C (Mus musculus)"
"Peer2.0.1.fasta009730-RA","ZFPM1"," Zinc finger protein ZFPM1 (Mus musculus)"
"Peer2.0.1.fasta009729-RA","TRHR"," Thyrotropin-releasing hormone receptor (Rattus norvegicus)"
"Peer2.0.1.fasta009731-RA",NA,NA
"Peer2.0.1.fasta009732-RA","ZNF469"," Zinc finger protein 469 (Homo sapiens)"
"Peer2.0.1.fasta009724-RA","RNF166"," E3 ubiquitin-protein ligase RNF166 (Rattus norvegicus)"
"Peer2.0.1.fasta009723-RA","CTU2"," Cytoplasmic tRNA 2-thiolation protein 2 (Rattus norvegicus)"
"Peer2.0.1.fasta009721-RA","PIEZO1"," Piezo-type mechanosensitive ion channel component 1 (Mus musculus)"
"Peer2.0.1.fasta009722-RA","PIEZO1"," Piezo-type mechanosensitive ion channel component 1 (Mus musculus)"
"Peer2.0.1.fasta009685-RA","DEF8"," Differentially expressed in FDCP 8 homolog (Homo sapiens)"
"Peer2.0.1.fasta009686-RA","TUBB3"," Tubulin beta-3 chain (Rattus norvegicus)"
"Peer2.0.1.fasta009687-RA","MC1R"," Melanocyte-stimulating hormone receptor (Mus musculus)"
"Peer2.0.1.fasta009688-RA","TCF25"," Transcription factor 25 (Homo sapiens)"
"Peer2.0.1.fasta009733-RA","BANP"," Protein BANP (Mus musculus)"
"Peer2.0.1.fasta009738-RA","JPH3"," Junctophilin-3 (Homo sapiens)"
"Peer2.0.1.fasta009737-RA","KLHDC4"," Kelch domain-containing protein 4 (Mus musculus)"
"Peer2.0.1.fasta009747-RA","FOXF1"," Forkhead box protein F1 (Homo sapiens)"
"Peer2.0.1.fasta009746-RA","TPCN1"," Two pore calcium channel protein 1 (Rattus norvegicus)"
"Peer2.0.1.fasta009743-RA","FOXL1"," Forkhead box protein L1 (Mus musculus)"
"Peer2.0.1.fasta009745-RA","MTHFSD"," Methenyltetrahydrofolate synthase domain-containing protein (Homo sapiens)"
"Peer2.0.1.fasta009744-RA","FOXC2"," Forkhead box protein C2 (Homo sapiens)"
"Peer2.0.1.fasta009742-RA","C16ORF95"," Uncharacterized protein C16orf95 (Homo sapiens)"
"Peer2.0.1.fasta009739-RA","ZCCHC14"," Zinc finger CCHC domain-containing protein 14 (Mus musculus)"
"Peer2.0.1.fasta009741-RA","FBXO31"," F-box only protein 31 (Mus musculus)"
"Peer2.0.1.fasta009740-RA","MAP1LC3B"," Microtubule-associated proteins 1A/1B light chain 3B (Rattus norvegicus)"
"Peer2.0.1.fasta009748-RA","IRF8"," Interferon regulatory factor 8 (Homo sapiens)"
"Peer2.0.1.fasta009749-RA","PSMB6"," Proteasome subunit beta type-6 (Homo sapiens)"
"Peer2.0.1.fasta009736-RA","SLC7A5"," Large neutral amino acids transporter small subunit 1 (Rattus norvegicus)"
"Peer2.0.1.fasta009735-RA","CA5A"," Carbonic anhydrase 5A%2C mitochondrial (Rattus norvegicus)"
"Peer2.0.1.fasta009734-RA","ADCY4"," Adenylate cyclase type 4 (Homo sapiens)"
"Peer2.0.1.fasta009755-RA","GRK7"," Rhodopsin kinase GRK7 (Sus scrofa)"
"Peer2.0.1.fasta009753-RA","EMC8"," ER membrane protein complex subunit 8 (Homo sapiens)"
"Peer2.0.1.fasta009750-RA","COX4I1"," Cytochrome c oxidase subunit 4 isoform 1%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta009751-RA","COX4I1"," Cytochrome c oxidase subunit 4 isoform 1%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta009754-RA","UNCHARACTERIZED PROTEIN C16ORF74 HOMOLOG (MUS MUSCULUS)",NA
"Peer2.0.1.fasta009752-RA","CRIP1"," Cysteine-rich protein 1 (Mus musculus)"
"Peer2.0.1.fasta009757-RA","GINS2"," DNA replication complex GINS protein PSF2 (Mus musculus)"
"Peer2.0.1.fasta009756-RA","CFL1"," Cofilin-1 (Homo sapiens)"
"Peer2.0.1.fasta009758-RA","GSE1"," Genetic suppressor element 1 (Homo sapiens)"
"Peer2.0.1.fasta009761-RA","ZDHHC7"," Palmitoyltransferase ZDHHC7 (Rattus norvegicus)"
"Peer2.0.1.fasta009760-RA","KIAA0513"," Uncharacterized protein KIAA0513 (Mus musculus)"
"Peer2.0.1.fasta009759-RA",NA,NA
"Peer2.0.1.fasta009768-RA","MEAK7"," MTOR-associated protein MEAK7 (Mus musculus)"
"Peer2.0.1.fasta009767-RA","COTL1"," Coactosin-like protein (Mus musculus)"
"Peer2.0.1.fasta009763-RA","CRISPLD2"," Cysteine-rich secretory protein LCCL domain-containing 2 (Mus musculus)"
"Peer2.0.1.fasta009762-RA","CRISPLD2"," Cysteine-rich secretory protein LCCL domain-containing 2 (Mus musculus)"
"Peer2.0.1.fasta009765-RA","KLHL36"," Kelch-like protein 36 (Rattus norvegicus)"
"Peer2.0.1.fasta009764-RA","USP10"," Ubiquitin carboxyl-terminal hydrolase 10 (Rattus norvegicus)"
"Peer2.0.1.fasta009766-RA","ABCA10"," ATP-binding cassette sub-family A member 10 (Homo sapiens)"
"Peer2.0.1.fasta009777-RA","MBTPS1"," Membrane-bound transcription factor site-1 protease (Rattus norvegicus)"
"Peer2.0.1.fasta009773-RA","DNAAF1"," Dynein assembly factor 1%2C axonemal (Peromyscus leucopus)"
"Peer2.0.1.fasta009776-RA","HSDL1"," Inactive hydroxysteroid dehydrogenase-like protein 1 (Rattus norvegicus)"
"Peer2.0.1.fasta009774-RA","DNAAF1"," Dynein assembly factor 1%2C axonemal (Peromyscus leucopus)"
"Peer2.0.1.fasta009775-RA","HSDL1"," Inactive hydroxysteroid dehydrogenase-like protein 1 (Pongo abelii)"
"Peer2.0.1.fasta009769-RA","ATP2C2"," Calcium-transporting ATPase type 2C member 2 (Mus musculus)"
"Peer2.0.1.fasta009782-RA","HSBP1"," Heat shock factor-binding protein 1 (Rattus norvegicus)"
"Peer2.0.1.fasta009781-RA","MLYCD"," Malonyl-CoA decarboxylase%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta009780-RA","OSGIN1"," Oxidative stress-induced growth inhibitor 1 (Mus musculus)"
"Peer2.0.1.fasta009778-RA","SLC38A8"," Putative sodium-coupled neutral amino acid transporter 8 (Mus musculus)"
"Peer2.0.1.fasta009779-RA","NECAB2"," N-terminal EF-hand calcium-binding protein 2 (Mus musculus)"
"Peer2.0.1.fasta009783-RA","CDH13"," Cadherin-13 (Mus musculus)"
"Peer2.0.1.fasta009772-RA","TAF1C"," TATA box-binding protein-associated factor%2C RNA polymerase I%2C subunit C (Rattus norvegicus)"
"Peer2.0.1.fasta009771-RA","ADAD2"," Adenosine deaminase domain-containing protein 2 (Mus musculus)"
"Peer2.0.1.fasta009770-RA","KCNG4"," Potassium voltage-gated channel subfamily G member 4 (Mus musculus)"
"Peer2.0.1.fasta009784-RA",NA,NA
"Peer2.0.1.fasta009786-RA","RPL12"," 60S ribosomal protein L12 (Rattus norvegicus)"
"Peer2.0.1.fasta009787-RA","MPHOSPH6"," M-phase phosphoprotein 6 (Mus musculus)"
"Peer2.0.1.fasta009785-RA","RPS25"," 40S ribosomal protein S25 (Bos taurus)"
"Peer2.0.1.fasta009788-RA","HSD17B2"," Estradiol 17-beta-dehydrogenase 2 (Rattus norvegicus)"
"Peer2.0.1.fasta009790-RA","HSD17B2"," Estradiol 17-beta-dehydrogenase 2 (Rattus norvegicus)"
"Peer2.0.1.fasta009789-RA","RPL18A"," 60S ribosomal protein L18a (Homo sapiens)"
"Peer2.0.1.fasta009791-RA","SDR42E1"," Short-chain dehydrogenase/reductase family 42E member 1 (Mus musculus)"
"Peer2.0.1.fasta009795-RA","CMIP"," C-Maf-inducing protein (Homo sapiens)"
"Peer2.0.1.fasta009792-RA","PLCG2"," 1-phosphatidylinositol 4%2C5-bisphosphate phosphodiesterase gamma-2 (Homo sapiens)"
"Peer2.0.1.fasta009793-RA","PLCG2"," 1-phosphatidylinositol 4%2C5-bisphosphate phosphodiesterase gamma-2 (Homo sapiens)"
"Peer2.0.1.fasta009794-RA","PLCG2"," 1-phosphatidylinositol 4%2C5-bisphosphate phosphodiesterase gamma-2 (Homo sapiens)"
"Peer2.0.1.fasta009797-RA","RPS24"," 40S ribosomal protein S24 (Mus musculus)"
"Peer2.0.1.fasta009798-RA","BCO1"," Beta%2Cbeta-carotene 15%2C15'-dioxygenase (Mus musculus)"
"Peer2.0.1.fasta009796-RA","GAN"," Gigaxonin (Mus musculus)"
"Peer2.0.1.fasta009802-RA","ATMIN"," ATM interactor (Mus musculus)"
"Peer2.0.1.fasta009801-RA","UNCHARACTERIZED PROTEIN C16ORF46 HOMOLOG (RATTUS NORVEGICUS)",NA
"Peer2.0.1.fasta009803-RA","CENPN"," Centromere protein N (Rattus norvegicus)"
"Peer2.0.1.fasta009804-RA","CMC2"," COX assembly mitochondrial protein 2 homolog (Mus musculus)"
"Peer2.0.1.fasta009805-RA","CDYL2"," Chromodomain Y-like protein 2 (Homo sapiens)"
"Peer2.0.1.fasta009806-RA","DYNLRB2"," Dynein light chain roadblock-type 2 (Bos taurus)"
"Peer2.0.1.fasta009799-RA","PKD1L2"," Polycystic kidney disease protein 1-like 2 (Mus musculus)"
"Peer2.0.1.fasta009800-RA","GCSH"," Glycine cleavage system H protein%2C mitochondrial (Rattus norvegicus)"
"Peer2.0.1.fasta009809-RA","WWOX"," WW domain-containing oxidoreductase (Mus musculus)"
"Peer2.0.1.fasta009807-RA","MAF"," Transcription factor Maf (Bos taurus)"
"Peer2.0.1.fasta009808-RA","MAF"," Transcription factor Maf (Bos taurus)"
"Peer2.0.1.fasta009811-RA","CLEC3A"," C-type lectin domain family 3 member A (Mus musculus)"
"Peer2.0.1.fasta009810-RA","WWOX"," WW domain-containing oxidoreductase (Mus musculus)"
"Peer2.0.1.fasta009812-RA","NUDT7"," Peroxisomal coenzyme A diphosphatase NUDT7 (Mus musculus)"
"Peer2.0.1.fasta009813-RA","ADAMTS18"," A disintegrin and metalloproteinase with thrombospondin motifs 18 (Homo sapiens)"
"Peer2.0.1.fasta009817-RA","TINF2"," TERF1-interacting nuclear factor 2 (Mus musculus)"
"Peer2.0.1.fasta009818-RA","DYNLRB1"," Dynein light chain roadblock-type 1 (Bos taurus)"
"Peer2.0.1.fasta009821-RA","KARS1"," Lysine--tRNA ligase (Rattus norvegicus)"
"Peer2.0.1.fasta009820-RA","TERF2IP"," Telomeric repeat-binding factor 2-interacting protein 1 (Mus musculus)"
"Peer2.0.1.fasta009819-RA","PPP2R3B"," Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta (Homo sapiens)"
"Peer2.0.1.fasta009825-RA","CHST5"," Carbohydrate sulfotransferase 5 (Mus musculus)"
"Peer2.0.1.fasta009827-RA","CFDP1"," Craniofacial development protein 1 (Homo sapiens)"
"Peer2.0.1.fasta009826-RA","TMEM170A"," Transmembrane protein 170A (Mus musculus)"
"Peer2.0.1.fasta009814-RA","ADAMTS18"," A disintegrin and metalloproteinase with thrombospondin motifs 18 (Mus musculus)"
"Peer2.0.1.fasta009815-RA","MON1B"," Vacuolar fusion protein MON1 homolog B (Mus musculus)"
"Peer2.0.1.fasta009823-RA","GABARAPL2"," Gamma-aminobutyric acid receptor-associated protein-like 2 (Bos taurus)"
"Peer2.0.1.fasta009822-RA","ADAT1"," tRNA-specific adenosine deaminase 1 (Mus musculus)"
"Peer2.0.1.fasta009824-RA","TMEM231"," Transmembrane protein 231 (Rattus norvegicus)"
"Peer2.0.1.fasta009828-RA","BCAR1"," Breast cancer anti-estrogen resistance protein 1 (Rattus norvegicus)"
"Peer2.0.1.fasta009830-RA","ZFP1"," Zinc finger protein 1 (Mus musculus)"
"Peer2.0.1.fasta009829-RA","CTRB1"," Chymotrypsinogen B (Rattus norvegicus)"
"Peer2.0.1.fasta009834-RA","ZNRF1"," E3 ubiquitin-protein ligase ZNRF1 (Bos taurus)"
"Peer2.0.1.fasta009832-RA","IGSF11"," Immunoglobulin superfamily member 11 (Bos taurus)"
"Peer2.0.1.fasta009833-RA","ZNRF1"," E3 ubiquitin-protein ligase ZNRF1 (Bos taurus)"
"Peer2.0.1.fasta009831-RA","LDHD"," Probable D-lactate dehydrogenase%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta009837-RA","FA2H"," Fatty acid 2-hydroxylase (Mus musculus)"
"Peer2.0.1.fasta009836-RA","FA2H"," Fatty acid 2-hydroxylase (Mus musculus)"
"Peer2.0.1.fasta009835-RA","WDR59"," GATOR complex protein WDR59 (Mus musculus)"
"Peer2.0.1.fasta009839-RA","RFWD3"," E3 ubiquitin-protein ligase RFWD3 (Mus musculus)"
"Peer2.0.1.fasta009838-RA","MLKL"," Mixed lineage kinase domain-like protein (Mus musculus)"
"Peer2.0.1.fasta009816-RA","CNTNAP4"," Contactin-associated protein-like 4 (Mus musculus)"
"Peer2.0.1.fasta009840-RA","GLG1"," Golgi apparatus protein 1 (Homo sapiens)"
"Peer2.0.1.fasta009842-RA","CLEC18A"," C-type lectin domain family 18 member A (Mus musculus)"
"Peer2.0.1.fasta009843-RA","HNRNPC"," Heterogeneous nuclear ribonucleoproteins C1/C2 (Mus musculus)"
"Peer2.0.1.fasta009850-RA","IL34"," Interleukin-34 (Mus musculus)"
"Peer2.0.1.fasta009841-RA","PDPR"," Pyruvate dehydrogenase phosphatase regulatory subunit%2C mitochondrial (Homo sapiens)"
"Peer2.0.1.fasta009854-RA","VAC14"," Protein VAC14 homolog (Bos taurus)"
"Peer2.0.1.fasta009855-RA","MFSD2B"," Major facilitator superfamily domain-containing protein 2B (Mus musculus)"
"Peer2.0.1.fasta009844-RA","DDX19B"," ATP-dependent RNA helicase DDX19B (Homo sapiens)"
"Peer2.0.1.fasta009845-RA","DDX19B"," ATP-dependent RNA helicase DDX19B (Homo sapiens)"
"Peer2.0.1.fasta009846-RA","ST3GAL2"," CMP-N-acetylneuraminate-beta-galactosamide-alpha-2%2C3-sialyltransferase 2 (Pan troglodytes)"
"Peer2.0.1.fasta009857-RA","HYDIN"," Hydrocephalus-inducing protein (Mus musculus)"
"Peer2.0.1.fasta009858-RA","HYDIN"," Hydrocephalus-inducing protein (Mus musculus)"
"Peer2.0.1.fasta009859-RA","HYDIN"," Hydrocephalus-inducing protein (Mus musculus)"
"Peer2.0.1.fasta009856-RA","HYDIN"," Hydrocephalus-inducing protein (Mus musculus)"
"Peer2.0.1.fasta009851-RA","MTSS2"," Protein MTSS 2 (Mus musculus)"
"Peer2.0.1.fasta009852-RA","VAC14"," Protein VAC14 homolog (Bos taurus)"
"Peer2.0.1.fasta009853-RA","VAC14"," Protein VAC14 homolog (Bos taurus)"
"Peer2.0.1.fasta009861-RA","CMTR2"," Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 2 (Mus musculus)"
"Peer2.0.1.fasta009860-RA",NA,NA
"Peer2.0.1.fasta009863-RA","ARHGAP28"," Rho GTPase-activating protein 28 (Mus musculus)"
"Peer2.0.1.fasta009864-RA","TLE7"," Transducin-like enhancer protein 7 (Homo sapiens)"
"Peer2.0.1.fasta009862-RA","CALB2"," Calretinin (Mus musculus)"
"Peer2.0.1.fasta009869-RA","TAT"," Tyrosine aminotransferase (Homo sapiens)"
"Peer2.0.1.fasta009870-RA","MARVELD3"," MARVEL domain-containing protein 3 (Mus musculus)"
"Peer2.0.1.fasta009849-RA","SF3B3"," Splicing factor 3B subunit 3 (Pongo abelii)"
"Peer2.0.1.fasta009848-RA","COG4"," Conserved oligomeric Golgi complex subunit 4 (Pongo abelii)"
"Peer2.0.1.fasta009847-RA","FCSK"," L-fucose kinase (Mus musculus)"
"Peer2.0.1.fasta009865-RA","ZNF23"," Zinc finger protein 23 (Homo sapiens)"
"Peer2.0.1.fasta009867-RA","CHST4"," Carbohydrate sulfotransferase 4 (Mus musculus)"
"Peer2.0.1.fasta009868-RA","CHST4"," Carbohydrate sulfotransferase 4 (Mus musculus)"
"Peer2.0.1.fasta009866-RA","ANAPC15"," Anaphase-promoting complex subunit 15 (Mus musculus)"
"Peer2.0.1.fasta009875-RA","ATXN1L"," Ataxin-1-like (Homo sapiens)"
"Peer2.0.1.fasta009873-RA","AP1G1"," AP-1 complex subunit gamma-1 (Mus musculus)"
"Peer2.0.1.fasta009872-RA","AP1G1"," AP-1 complex subunit gamma-1 (Mus musculus)"
"Peer2.0.1.fasta009874-RA","AP1G1"," AP-1 complex subunit gamma-1 (Mus musculus)"
"Peer2.0.1.fasta009871-RA","PHLPP2"," PH domain leucine-rich repeat-containing protein phosphatase 2 (Homo sapiens)"
"Peer2.0.1.fasta009885-RA","TRIM46"," Tripartite motif-containing protein 46 (Rattus norvegicus)"
"Peer2.0.1.fasta009877-RA","IST1"," IST1 homolog (Rattus norvegicus)"
"Peer2.0.1.fasta009878-RA","IST1"," IST1 homolog (Rattus norvegicus)"
"Peer2.0.1.fasta009876-RA","ZNF821"," Zinc finger protein 821 (Mus musculus)"
"Peer2.0.1.fasta009886-RA","ZFHX3"," Zinc finger homeobox protein 3 (Homo sapiens)"
"Peer2.0.1.fasta009887-RA","ZFHX3"," Zinc finger homeobox protein 3 (Homo sapiens)"
"Peer2.0.1.fasta009888-RA","ZFHX3"," Zinc finger homeobox protein 3 (Mus musculus)"
"Peer2.0.1.fasta009879-RA","PKD1L3"," Polycystic kidney disease protein 1-like 3 (Mus musculus)"
"Peer2.0.1.fasta009880-RA","DHODH"," Dihydroorotate dehydrogenase (quinone)%2C mitochondrial (Mus musculus)"
"Peer2.0.1.fasta009893-RA","NOB1"," RNA-binding protein NOB1 (Rattus norvegicus)"
"Peer2.0.1.fasta009892-RA","ST3GAL5"," Lactosylceramide alpha-2%2C3-sialyltransferase (Mus musculus)"
"Peer2.0.1.fasta009883-RA","DHX38"," Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 (Bos taurus)"
"Peer2.0.1.fasta009884-RA","PMFBP1"," Polyamine-modulated factor 1-binding protein 1 (Mus musculus)"
"Peer2.0.1.fasta009881-RA","HP"," Haptoglobin (Mesocricetus auratus)"
"Peer2.0.1.fasta009882-RA","TXNL4B"," Thioredoxin-like protein 4B (Homo sapiens)"
"Peer2.0.1.fasta009890-RA","WWP2"," NEDD4-like E3 ubiquitin-protein ligase WWP2 (Homo sapiens)"
"Peer2.0.1.fasta009889-RA","PSMD7"," 26S proteasome non-ATPase regulatory subunit 7 (Homo sapiens)"
"Peer2.0.1.fasta009891-RA","COX6B1"," Cytochrome c oxidase subunit 6B1 (Mus musculus)"
"Peer2.0.1.fasta009899-RA","CYB5B"," Cytochrome b5 type B (Homo sapiens)"
"Peer2.0.1.fasta009905-RA","SNTB2"," Beta-2-syntrophin (Homo sapiens)"
"Peer2.0.1.fasta009907-RA","RPLP0"," 60S acidic ribosomal protein P0 (Bos taurus)"
"Peer2.0.1.fasta009906-RA","SNTB2"," Beta-2-syntrophin (Homo sapiens)"
"Peer2.0.1.fasta009896-RA","NQO1"," NAD(P)H dehydrogenase [quinone] 1 (Mus musculus)"
"Peer2.0.1.fasta009895-RA","MBD3"," Methyl-CpG-binding domain protein 3 (Homo sapiens)"
"Peer2.0.1.fasta009894-RA","NOB1"," RNA-binding protein NOB1 (Rattus norvegicus)"
"Peer2.0.1.fasta009913-RA","TANGO6"," Transport and Golgi organization protein 6 homolog (Mus musculus)"
"Peer2.0.1.fasta009897-RA","NFAT5"," Nuclear factor of activated T-cells 5 (Rattus norvegicus)"
"Peer2.0.1.fasta009898-RA","NFAT5"," Nuclear factor of activated T-cells 5 (Rattus norvegicus)"
"Peer2.0.1.fasta009902-RA","NIP7"," 60S ribosome subunit biogenesis protein NIP7 homolog (Mus musculus)"
"Peer2.0.1.fasta009904-RA","VPS4A"," Vacuolar protein sorting-associated protein 4A (Rattus norvegicus)"
"Peer2.0.1.fasta009900-RA","TERF2"," Telomeric repeat-binding factor 2 (Mus musculus)"
"Peer2.0.1.fasta009903-RA","COG8"," Conserved oligomeric Golgi complex subunit 8 (Mus musculus)"
"Peer2.0.1.fasta009901-RA","TMED6"," Transmembrane emp24 domain-containing protein 6 (Mus musculus)"
"Peer2.0.1.fasta009916-RA","CDH3"," Cadherin-3 (Mus musculus)"
"Peer2.0.1.fasta009915-RA","RPS2"," 40S ribosomal protein S2 (Mus musculus)"
"Peer2.0.1.fasta009918-RA","TRYPTASE (CANIS LUPUS FAMILIARIS)",NA
"Peer2.0.1.fasta009919-RA","TRYPTASE (CANIS LUPUS FAMILIARIS)",NA
"Peer2.0.1.fasta009917-RA","CDH3"," Cadherin-3 (Mus musculus)"
"Peer2.0.1.fasta009909-RA","UTP4"," U3 small nucleolar RNA-associated protein 4 homolog (Mus musculus)"
